SPX 8/7/2018,NAME,GICS_SECTOR_NAME
MO UN Equity,ALTRIA GROUP INC,Consumer Staples
HCA UN Equity,HCA HEALTHCARE INC,Health Care
UAA UN Equity,UNDER ARMOUR INC-CLASS A,Consumer Discretionary
IP UN Equity,INTERNATIONAL PAPER CO,Materials
HPE UN Equity,HEWLETT PACKARD ENTERPRISE,Information Technology
ABT UN Equity,ABBOTT LABORATORIES,Health Care
AFL UN Equity,AFLAC INC,Financials
APD UN Equity,AIR PRODUCTS & CHEMICALS INC,Materials
RCL UN Equity,ROYAL CARIBBEAN CRUISES LTD,Consumer Discretionary
AEP UN Equity,AMERICAN ELECTRIC POWER,Utilities
HES UN Equity,HESS CORP,Energy
APC UN Equity,ANADARKO PETROLEUM CORP,Energy
AON UN Equity,AON PLC,Financials
APA UN Equity,APACHE CORP,Energy
ADM UN Equity,ARCHER-DANIELS-MIDLAND CO,Consumer Staples
ADP UW Equity,AUTOMATIC DATA PROCESSING,Information Technology
VRSK UW Equity,VERISK ANALYTICS INC,Industrials
AZO UN Equity,AUTOZONE INC,Consumer Discretionary
AVY UN Equity,AVERY DENNISON CORP,Materials
MSCI UN Equity,MSCI INC,Financials
BLL UN Equity,BALL CORP,Materials
BK UN Equity,BANK OF NEW YORK MELLON CORP,Financials
BAX UN Equity,BAXTER INTERNATIONAL INC,Health Care
BDX UN Equity,BECTON DICKINSON AND CO,Health Care
BRK/B UN Equity,BERKSHIRE HATHAWAY INC-CL B,Financials
BBY UN Equity,BEST BUY CO INC,Consumer Discretionary
HRB UN Equity,H&R BLOCK INC,Consumer Discretionary
BSX UN Equity,BOSTON SCIENTIFIC CORP,Health Care
BMY UN Equity,BRISTOL-MYERS SQUIBB CO,Health Care
FBHS UN Equity,FORTUNE BRANDS HOME & SECURI,Industrials
BF/B UN Equity,BROWN-FORMAN CORP-CLASS B,Consumer Staples
COG UN Equity,CABOT OIL & GAS CORP,Energy
AMD UR Equity,ADVANCED MICRO DEVICES,Information Technology
CPB UN Equity,CAMPBELL SOUP CO,Consumer Staples
KSU UN Equity,KANSAS CITY SOUTHERN,Industrials
HLT UN Equity,HILTON WORLDWIDE HOLDINGS IN,Consumer Discretionary
QRVO UW Equity,QORVO INC,Information Technology
CCL UN Equity,CARNIVAL CORP,Consumer Discretionary
CTL UN Equity,CENTURYLINK INC,Communication Services
UDR UN Equity,UDR INC,Real Estate
CLX UN Equity,CLOROX COMPANY,Consumer Staples
CMS UN Equity,CMS ENERGY CORP,Utilities
CL UN Equity,COLGATE-PALMOLIVE CO,Consumer Staples
IPGP UW Equity,IPG PHOTONICS CORP,Information Technology
CMA UN Equity,COMERICA INC,Financials
CA UW Equity,CA INC,Information Technology
CAG UN Equity,CONAGRA BRANDS INC,Consumer Staples
ED UN Equity,CONSOLIDATED EDISON INC,Utilities
SLG UN Equity,SL GREEN REALTY CORP,Real Estate
GLW UN Equity,CORNING INC,Information Technology
CMI UN Equity,CUMMINS INC,Industrials
DHR UN Equity,DANAHER CORP,Health Care
TGT UN Equity,TARGET CORP,Consumer Discretionary
DE UN Equity,DEERE & CO,Industrials
D UN Equity,DOMINION ENERGY INC,Utilities
CBOE UW Equity,CBOE GLOBAL MARKETS INC,Financials
DOV UN Equity,DOVER CORP,Industrials
DUK UN Equity,DUKE ENERGY CORP,Utilities
ETN UN Equity,EATON CORP PLC,Industrials
ECL UN Equity,ECOLAB INC,Materials
PKI UN Equity,PERKINELMER INC,Health Care
EMR UN Equity,EMERSON ELECTRIC CO,Industrials
EOG UN Equity,EOG RESOURCES INC,Energy
ETR UN Equity,ENTERGY CORP,Utilities
EFX UN Equity,EQUIFAX INC,Industrials
IQV UN Equity,IQVIA HOLDINGS INC,Health Care
EQT UN Equity,EQT CORP,Energy
XL UN Equity,XL GROUP LTD,Financials
IT UN Equity,GARTNER INC,Information Technology
FDX UN Equity,FEDEX CORP,Industrials
M UN Equity,MACY'S INC,Consumer Discretionary
FMC UN Equity,FMC CORP,Materials
F UN Equity,FORD MOTOR CO,Consumer Discretionary
NEE UN Equity,NEXTERA ENERGY INC,Utilities
BEN UN Equity,FRANKLIN RESOURCES INC,Financials
FCX UN Equity,FREEPORT-MCMORAN INC,Materials
GD UN Equity,GENERAL DYNAMICS CORP,Industrials
GIS UN Equity,GENERAL MILLS INC,Consumer Staples
GPC UN Equity,GENUINE PARTS CO,Consumer Discretionary
GWW UN Equity,WW GRAINGER INC,Industrials
HAL UN Equity,HALLIBURTON CO,Energy
HOG UN Equity,HARLEY-DAVIDSON INC,Consumer Discretionary
LHX UN Equity,L3HARRIS TECHNOLOGIES INC,Industrials
PEAK UN Equity,HEALTHPEAK PROPERTIES INC,Real Estate
HP UN Equity,HELMERICH & PAYNE,Energy
SYF UN Equity,SYNCHRONY FINANCIAL,Financials
FTV UN Equity,FORTIVE CORP,Industrials
HSY UN Equity,HERSHEY CO/THE,Consumer Staples
HRL UN Equity,HORMEL FOODS CORP,Consumer Staples
AJG UN Equity,ARTHUR J GALLAGHER & CO,Financials
MDLZ UW Equity,MONDELEZ INTERNATIONAL INC-A,Consumer Staples
CNP UN Equity,CENTERPOINT ENERGY INC,Utilities
HUM UN Equity,HUMANA INC,Health Care
WLTW UW Equity,WILLIS TOWERS WATSON PLC,Financials
ITW UN Equity,ILLINOIS TOOL WORKS,Industrials
IR UN Equity,INGERSOLL-RAND PLC,Industrials
FL UN Equity,FOOT LOCKER INC,Consumer Discretionary
IPG UN Equity,INTERPUBLIC GROUP OF COS INC,Communication Services
IFF UN Equity,INTL FLAVORS & FRAGRANCES,Materials
J UN Equity,JACOBS ENGINEERING GROUP INC,Industrials
HBI UN Equity,HANESBRANDS INC,Consumer Discretionary
K UN Equity,KELLOGG CO,Consumer Staples
PRGO UN Equity,PERRIGO CO PLC,Health Care
BR UN Equity,BROADRIDGE FINANCIAL SOLUTIO,Information Technology
KMB UN Equity,KIMBERLY-CLARK CORP,Consumer Staples
KIM UN Equity,KIMCO REALTY CORP,Real Estate
ORCL UN Equity,ORACLE CORP,Information Technology
KSS UN Equity,KOHLS CORP,Consumer Discretionary
KR UN Equity,KROGER CO,Consumer Staples
LEG UN Equity,LEGGETT & PLATT INC,Consumer Discretionary
LEN UN Equity,LENNAR CORP-A,Consumer Discretionary
JEF UN Equity,JEFFERIES FINANCIAL GROUP IN,Financials
LLY UN Equity,ELI LILLY & CO,Health Care
LB UN Equity,L BRANDS INC,Consumer Discretionary
CHTR UW Equity,CHARTER COMMUNICATIONS INC-A,Communication Services
LNC UN Equity,LINCOLN NATIONAL CORP,Financials
L UN Equity,LOEWS CORP,Financials
LOW UN Equity,LOWE'S COS INC,Consumer Discretionary
XRX UN Equity,XEROX HOLDINGS CORP,Information Technology
HST UN Equity,HOST HOTELS & RESORTS INC,Real Estate
MMC UN Equity,MARSH & MCLENNAN COS,Financials
MAS UN Equity,MASCO CORP,Industrials
MAT UW Equity,MATTEL INC,Consumer Discretionary
SPGI UN Equity,S&P GLOBAL INC,Financials
MDT UN Equity,MEDTRONIC PLC,Health Care
CVS UN Equity,CVS HEALTH CORP,Health Care
DD UN Equity,DUPONT DE NEMOURS INC,Materials
MU UW Equity,MICRON TECHNOLOGY INC,Information Technology
MSI UN Equity,MOTOROLA SOLUTIONS INC,Information Technology
MYL UW Equity,MYLAN NV,Health Care
LH UN Equity,LABORATORY CRP OF AMER HLDGS,Health Care
NWL UN Equity,NEWELL BRANDS INC,Consumer Discretionary
NEM UN Equity,NEWMONT GOLDCORP CORP,Materials
TFCFA UW Equity,TFCF CORP,Communication Services
NKE UN Equity,NIKE INC -CL B,Consumer Discretionary
NI UN Equity,NISOURCE INC,Utilities
NBL UN Equity,NOBLE ENERGY INC,Energy
NSC UN Equity,NORFOLK SOUTHERN CORP,Industrials
PFG UW Equity,PRINCIPAL FINANCIAL GROUP,Financials
NOC UN Equity,NORTHROP GRUMMAN CORP,Industrials
WFC UN Equity,WELLS FARGO & CO,Financials
NUE UN Equity,NUCOR CORP,Materials
PVH UN Equity,PVH CORP,Consumer Discretionary
OXY UN Equity,OCCIDENTAL PETROLEUM CORP,Energy
OMC UN Equity,OMNICOM GROUP,Communication Services
OKE UN Equity,ONEOK INC,Energy
RJF UN Equity,RAYMOND JAMES FINANCIAL INC,Financials
PCG UN Equity,P G & E CORP,Utilities
PH UN Equity,PARKER HANNIFIN CORP,Industrials
PPL UN Equity,PPL CORP,Utilities
EXC UN Equity,EXELON CORP,Utilities
COP UN Equity,CONOCOPHILLIPS,Energy
PHM UN Equity,PULTEGROUP INC,Consumer Discretionary
PNW UN Equity,PINNACLE WEST CAPITAL,Utilities
PNC UN Equity,PNC FINANCIAL SERVICES GROUP,Financials
PPG UN Equity,PPG INDUSTRIES INC,Materials
PX UN Equity,PRAXAIR INC,Materials
PGR UN Equity,PROGRESSIVE CORP,Financials
PEG UN Equity,PUBLIC SERVICE ENTERPRISE GP,Utilities
