SPX 8/7/2018,NAME,GICS_SECTOR_NAME
COTY UN Equity,COTY INC-CL A,Consumer Staples
DISH UW Equity,DISH NETWORK CORP-A,Communication Services
ALXN UW Equity,ALEXION PHARMACEUTICALS INC,Health Care
RE UN Equity,EVEREST RE GROUP LTD,Financials
NWSA UW Equity,NEWS CORP - CLASS A,Communication Services
GPN UN Equity,GLOBAL PAYMENTS INC,Information Technology
CCI UN Equity,CROWN CASTLE INTL CORP,Real Estate
APTV UN Equity,APTIV PLC,Consumer Discretionary
AAP UN Equity,ADVANCE AUTO PARTS INC,Consumer Discretionary
CPRI UN Equity,CAPRI HOLDINGS LTD,Consumer Discretionary
ALGN UW Equity,ALIGN TECHNOLOGY INC,Health Care
ADS UN Equity,ALLIANCE DATA SYSTEMS CORP,Information Technology
LKQ UW Equity,LKQ CORP,Consumer Discretionary
NLSN UN Equity,NIELSEN HOLDINGS PLC,Industrials
GRMN UW Equity,GARMIN LTD,Consumer Discretionary
XEC UN Equity,CIMAREX ENERGY CO,Energy
ZTS UN Equity,ZOETIS INC,Health Care
DLR UN Equity,DIGITAL REALTY TRUST INC,Real Estate
EQIX UW Equity,EQUINIX INC,Real Estate
DISCK UW Equity,DISCOVERY INC-C,Communication Services
