symbol
HOV
HCACU
SMFG
AFGB
NOVT
ALYA
TIPT
FEUZ
AOR
NTAP
RCB
GJO
FXS
CBZ
XHS
CREG
AGFSW
MPAA
FQAL
NEWT
OGEN
NFINU
SDOG
HOOK
CWST
TGS
ONTX
FLMNW
MQT
GRIF
HHHHU
UWT
PDM
SRI
KALU
AVNW
ECOL
WFC-L
STCN
QQQE
GLIBP
ASUR
AIRR
PLAB
CIEN
FULC
CMTL
FUND
LSBK
OCCIP
WTRH
STAG-C
ROST
RMBS
REXR-A
NFTY
DWX
MFGP
SNX
SRET
STRM
AXGN
POOL
LOVE
CYCCP
PDCE
BLL
FVD
NVCN
FPI-B
ANDAU
TOT
ISDS
DWPP
FMCI
GFNCP
HYLD
SCHF
EMR
SLMBP
ROK
TPIC
DDT
ADUS
CETV
CTT
TK
SAL
PRVL
ANFI
PFPT
BLCN
YUMA
TYL
SPAB
MJO
XLRE
JPM-J
SMMT
AHL-C
UTL
SMTS
GLEO=
ORSN
ENTG
RUTH
VYMI
WWJD
PNNTG
GF
GBR
SNP
VGM
ICPT
ZYNE
FMAO
GAB
NI
FLQL
CNTY
JKF
ICF
GEF
PRE-F
CSGS
MMU
PSA-V
DE
GOLD
PBD
AGNCM
GOGO
FXN
MYN
CUBI-F
MGYR
TMHC
HBANO
RELX
GAINL
FAX
ADAP
TLEH
AMCIW
ESEA
ZN
GOODN
SIGI
MXE
NDAQ
UEUR
ALEX
NEPH
GS-N
PAVE
IPHS
ADRD
CUK
AHPI
IGA
VRSN
GS-A
AKAM
ETRN
VKTXW
BNO
CTRM
PHGE=
DOGS
GENY
ERIE
PST
ARCE
ROBT
GSUM
AUMN
AGM-C
BCV-A
AMCX
KEMX
HNDL
TMV
SCJ
VNLA
GCE
CLS
MYY
PSV
TTM
NBR
PSB
EWUS
SPPP
QDF
ASTE
OPRX
ECOM
DRR
SGMS
BXRX
APWC
RWO
SMHD
IAE
JMBS
WSO
BBI
CLNY-J
NMR
AMH-G
FITBI
BIB
WORX
PSA-F
CODX
EWW
CFFA
EGF
PDI
BRKR
STXS
AMSF
CELC
ITCI
MOR
CXO
BKSC
SGLB
PDEV
DXYN
ESCA
OTIC
HLIT
BNKU
FCEF
FLQE
VBLT
LYB
KRTX
SPE
SBS
EWU
FNCL
MNK
PZG
JSML
PJH
MTFBW
RMAX
ISTB
EBR
TUR
MGF
IRT
DLA
LTM
GXGXW
XSMO
ACY
LIND
UDEC
SNES
CAAP
BCSF
TU
MYF
MATX
RDWR
NMRK
GJT
AVTR-A
PFMT
JJS
VRS
ISR
EINC
FFTY
MET-A
HCHC
MTB
MDLY
IMFD
TECTP
ISTR
MSD
CLGX
BSE
FRC-J
TWO-D
WBIL
NUV
BSCN
PODD
LOB
FLMI
TCRW
SVXY
CP
PAPR
CCX+
PBP
AXLA
NSA
CMDY
KAMN
HOS
BC-A
SOI
BGB
CMP
WATT
VNOM
CFFAU
INCY
PII
SMOG
VGI
SEF
ERM
IMBI
BRF
SSPKW
FLMN
DDF
VPG
PUK-A
MMM
OMFL
EME
SDIV
MVC
BLHY
LGIH
FRA
FDP
INST
VEGN
PTY
BKCC
QVCC
OGS
PHM
LVUS
BSCL
HON
CEPU
FNGU
WEN
SANW
UBFO
STL
UHAL
CASH
AXR
JPMV
OYLD
CZZ
PAAC
HAS
VCTR
STAG
TEO
SLM
PAGS
OTEX
CIA
PWR
RXN
NEOG
SU
QTEC
CDXS
FLHK
ENX
TIBRU
HYS
JMP
VTV
HOFT
PTVCA
NEXA
VTEB
BSMS
EEM
NXN
UTI
MDLQ
CHA
ORC
EUMV
DNR
TITN
