Ticker,Industry
NasdaqGS:ULTA,Specialty Stores
NasdaqGS:VIAC,Broadcasting
NYSE:L,Property and Casualty Insurance
NasdaqGS:PFG,Life and Health Insurance
NYSE:WAB,Construction Machinery and Heavy Trucks
NYSE:DRI,Restaurants
NasdaqGS:WDC,Technology Hardware Storage and Peripherals
NYSE:WAT,Life Sciences Tools and Services
NYSE:ANET,Communications Equipment
NYSE:BKR,Oil and Gas Equipment and Services
NasdaqGS:CTXS,Application Software
NYSE:CPB,Packaged Foods and Meats
NYSE:DGX,Health Care Services
NYSE:EVRG,Electric Utilities
NYSE:IT,IT Consulting and Other Services
NasdaqGS:MKTX,Financial Exchanges and Data
NYSE:BR,Data Processing and Outsourced Services
NYSE:CAG,Packaged Foods and Meats
NYSE:UDR,Residential REITs
NasdaqGS:HOLX,Health Care Equipment
NasdaqGS:NTAP,Technology Hardware Storage and Peripherals
NYSE:EXR,Specialized REITs
NYSE:NVR,Homebuilding
NasdaqGS:HAS,Leisure Products
NasdaqGS:AKAM,Internet Services and Infrastructure
NYSE:XYL,Industrial Machinery
NYSE:BEN,Asset Management and Custody Banks
NYSE:ARNC,Aerospace and Defense
BATS:CBOE,Financial Exchanges and Data
NasdaqGS:FANG,Oil and Gas Exploration and Production
NasdaqGS:TTWO,Interactive Home Entertainment
NasdaqGS:WYNN,Casinos and Gaming
NYSE:DRE,Industrial REITs
NasdaqGS:XRAY,Health Care Supplies
NYSE:WRB,Property and Casualty Insurance
NYSE:LDOS,IT Consulting and Other Services
NYSE:MAS,Building Products
NYSE:HST,Hotel and Resort REITs
NasdaqGS:LNT,Electric Utilities
NYSE:FMC,Fertilizers and Agricultural Chemicals
NYSE:ATO,Gas Utilities
NYSE:UHS,Health Care Facilities
NYSE:VAR,Health Care Equipment
NYSE:CNP,Multi-Utilities
NYSE:RJF,Investment Banking and Brokerage
NasdaqGS:EXPD,Air Freight and Logistics
NYSE:VNO,Office REITs
NYSE:AES,Independent Power Producers and Energy Traders
NYSE:IEX,Industrial Machinery
NasdaqGS:QRVO,Semiconductors
NYSE:LW,Packaged Foods and Meats
NasdaqGS:SIVB,Regional Banks
NYSE:SJM,Packaged Foods and Meats
NasdaqGS:JBHT,Trucking
NasdaqGS:AAL,Airlines
NYSE:URI,Trading Companies and Distributors
NYSE:NCLH,Hotels Resorts and Cruise Lines
NasdaqGS:JKHY,Data Processing and Outsourced Services
NasdaqGS:TSCO,Specialty Stores
NYSE:LNC,Life and Health Insurance
NYSE:ALLE,Building Products
NYSE:JEC,Construction and Engineering
NYSE:WU,Data Processing and Outsourced Services
NYSE:ROL,Environmental and Facilities Services
NYSE:GL,Life and Health Insurance
NYSE:TAP,Brewers
NYSE:RE,Reinsurance
NasdaqGS:LKQ,Distributors
NYSE:AVY,Paper Packaging
NYSE:PHM,Homebuilding
NasdaqGS:REG,Retail REITs
NYSE:AAP,Automotive Retail
NYSE:PKG,Paper Packaging
NYSE:WRK,Paper Packaging
NYSE:EMN,Diversified Chemicals
NYSE:PKI,Life Sciences Tools and Services
NYSE:NBL,Oil and Gas Exploration and Production
NYSE:HII,Aerospace and Defense
NYSE:TXT,Aerospace and Defense
NYSE:CMA,Regional Banks
NasdaqGS:CHRW,Air Freight and Logistics
NasdaqGS:ETFC,Investment Banking and Brokerage
NasdaqGS:HSIC,Health Care Distributors
NYSE:NI,Multi-Utilities
NYSE:MRO,Oil and Gas Exploration and Production
NasdaqGS:MYL,Pharmaceuticals
NYSE:FRT,Retail REITs
NYSE:MHK,Home Furnishings
NYSE:CF,Fertilizers and Agricultural Chemicals
NYSE:PNW,Electric Utilities
NYSE:NRG,Independent Power Producers and Energy Traders
NYSE:DXC,IT Consulting and Other Services
NYSE:DVA,Health Care Services
NYSE:IRM,Specialized REITs
NYSE:WHR,Household Appliances
NYSE:SNA,Industrial Machinery
NYSE:NOV,Oil and Gas Equipment and Services
NYSE:COTY,Personal Products
NYSE:FBHS,Building Products
NYSE:BWA,Auto Parts and Equipment
NYSE:KIM,Retail REITs
NYSE:DVN,Oil and Gas Exploration and Production
NYSE:IPG,Advertising
NasdaqGS:ABMD,Health Care Equipment
NYSE:FTI,Oil and Gas Equipment and Services
NasdaqGS:ZION,Regional Banks
NYSE:ALK,Airlines
NasdaqGS:FFIV,Communications Equipment
NYSE:RL,Apparel Accessories and Luxury Goods
NYSE:UAA,Apparel Accessories and Luxury Goods
NYSE:UA,Apparel Accessories and Luxury Goods
NYSE:XRX,Technology Hardware Storage and Peripherals
NYSE:HFC,Oil and Gas Refining and Marketing
NasdaqGS:NWL,Housewares and Specialties
NYSE:JNPR,Communications Equipment
NYSE:AIZ,Multi-line Insurance
NYSE:AIV,Residential REITs
NasdaqGS:NWSA,Publishing
NasdaqGS:NWS,Publishing
NYSE:AOS,Building Products
NYSE:IVZ,Asset Management and Custody Banks
NasdaqGS:IPGP,Electronic Manufacturing Services
NYSE:PNR,Industrial Machinery
NYSE:PVH,Apparel Accessories and Luxury Goods
NYSE:APA,Oil and Gas Exploration and Production
NYSE:KSS,Department Stores
NasdaqGS:PBCT,Regional Banks
NYSE:MOS,Fertilizers and Agricultural Chemicals
NasdaqGS:FLIR,Electronic Equipment and Instruments
NYSE:NLSN,Research and Consulting Services
NYSE:PRGO,Pharmaceuticals
NYSE:TPR,Apparel Accessories and Luxury Goods
NYSE:LEG,Home Furnishings
NYSE:SLG,Office REITs
NYSE:ALB,Specialty Chemicals
NYSE:RHI,Human Resource and Employment Services
NYSE:COG,Oil and Gas Exploration and Production
NYSE:FLS,Industrial Machinery
NYSE:GPS,Apparel Retail
NYSE:UNM,Life and Health Insurance
NYSE:SEE,Paper Packaging
NYSE:JWN,Department Stores
NYSE:CPRI,Apparel Accessories and Luxury Goods
NYSE:PWR,Construction and Engineering
NYSE:HOG,Motorcycle Manufacturers
NYSE:HBI,Apparel Accessories and Luxury Goods
NYSE:LB,Apparel Retail
NYSE:ADS,Data Processing and Outsourced Services
NYSE:XEC,Oil and Gas Exploration and Production
NYSE:HRB,Specialized Consumer Services
NYSE:M,Department Stores
NYSE:HP,Oil and Gas Drilling
NYSE:AMG,Asset Management and Custody Banks
NasdaqGS:TRIP,Interactive Media and Services
NYSE:MAC,Retail REITs
