Ticker,IQ_PE_EXCL,IQ_PE_NORMALIZED,IQ_PBV,IQ_TOTAL_DEBT_EQUITY,IQ_TOTAL_DEBT_CAPITAL,IQ_NI_MARGIN,IQ_NI_NORM_MARGIN,IQ_RETURN_COMMON_EQUITY,IQ_RETURN_ASSETS,IQ_BETA_2YR,IQ_BETA_5YR,IQ_MarketCap,predictions
TXN,22.70716,31.41733,12.73653,68.414,40.6225,35.1593,25.2711,52.8383,20.3336,1.10607,1.19211,115650.4176,2
LMT,18.3913,25.73261,27.92388,371.6789,78.7991,10.2579,7.3281,247.5186,10.7813,0.79368,0.95231,108947.2645,2
DHR,43.96494,48.89961,3.44473,56.2357,35.9941,12.1341,10.7033,8.3006,4.0488,0.93769,0.82991,107777.24699999999,5
SBUX,29.56164,42.73314,3.26712,91.9962,224.4582,13.5774,9.397,15.1807,11.2841,0.73718,0.504,102262.79,2
UPS,20.44375,25.31528,18.14335,475.0627,82.6105,6.813,5.5,115.5036,7.0407,1.27717,1.22326,100185.1115,0
CHTR,84.79172,101.77936,3.0474,187.9423,65.2708,2.7634,2.3019,3.5674,2.6398,1.13963,1.1968,100059.6145,1
AXP,14.56875,19.63439,4.30058,269.4983,72.9362,18.0685,13.168,31.224,3.6923,1.13281,1.04273,98716.19148,4
MMM,20.33271,26.59692,9.2136,189.5113,65.459,15.477,11.8493,47.2362,10.0516,1.24184,1.09611,97034.04753,2
CVS,21.2319,15.60841,1.56584,142.4975,58.7624,1.8361,2.4956,8.997,4.1483,1.23761,0.88243,95425.70991,0
GE,22.610205,43.00842,3.47103,330.7059,76.7823,-4.1189,1.8731,0.0303,1.5297,1.04579,1.17639,95807.03253,0
QCOM,23.34819,21.28208,19.5506,324.5671,76.4465,18.0694,19.7956,153.4639,15.3806,0.94908,1.6367,99329.08463,2
MO,54.19498,14.37052,8.93051,261.3619,72.3269,8.9282,33.2166,13.5181,13.6193,0.64775,0.45714,93966.76345,2
AMT,58.92978,65.19542,17.93176,445.952,81.6833,20.5777,18.6017,30.265,5.3768,0.39249,0.40181,93708.47842999999,5
USB,13.82105,17.37662,1.98785,91.9962,49.5477,34.1763,25.9536,15.1255,1.5363,1.01138,1.12571,92540.15547,4
LOW,31.14502,25.56131,36.3316,906.7127,90.0666,4.1062,4.99,74.8599,10.4524,1.101,1.27165,90183.49909,2
FIS,69.83784,69.90055,1.72961,42.1584,29.6559,8.2332,8.21,2.544,1.8305,0.8155,0.63818,83278.34133,5
GILD,31.97215,28.4172,4.12169,122.01,54.9569,12.0411,13.5283,12.3915,5.2227,1.11967,1.13544,85751.56958,0
BKNG,19.82689,26.34549,13.65072,153.1003,60.4899,29.0495,21.8624,54.5815,14.5389,1.0915,1.09505,80609.05552000001,2
MS,10.65066,12.73669,1.09467,374.1292,78.9087,21.3091,16.6555,10.8118,0.9602,1.34199,1.38299,80039.66591,4
GS,10.03738,11.72466,0.9937,487.5708,82.9807,26.9483,21.5673,10.8513,0.9251,1.31075,1.37062,78320.51348,4
CAT,13.57346,16.60372,5.27524,257.5001,72.0279,10.9876,8.9812,39.2377,6.5051,1.51961,1.51388,79582.80773,0
FISV,55.17415,58.82459,2.38589,68.5749,40.6792,12.1149,11.3886,5.2759,2.4037,0.77083,0.79438,77922.76607,5
MDLZ,19.87524,31.29008,2.89361,75.7497,43.1009,15.4189,9.7777,15.1809,3.9598,0.73784,0.75439,77649.72833,5
BLK,19.14332,23.92162,2.37383,20.3606,16.9163,29.3083,23.4522,12.6561,1.9809,1.31619,1.55439,76641.5473,4
SYK,22.60291,38.59806,6.20114,71.2951,41.6212,23.548,13.7981,30.8996,8.6961,1.03787,0.7633,74123.712,2
CI,16.37607,16.81017,1.66279,88.1005,46.8369,3.2939,3.2102,14.1773,4.1289,1.00742,0.75261,71604.31489,0
CME,36.09357,42.03817,2.74875,16.8759,14.4392,40.9869,35.2424,8.1171,2.2778,0.37694,0.19808,73360.63016,4
ADP,31.29706,38.19532,13.74248,119.9227,54.5294,16.502,13.5261,47.2095,5.2248,0.98323,0.88138,72364.4284,2
ANTM,17.38359,22.03465,2.31061,68.0933,40.5092,4.2909,3.3837,14.2256,5.0524,0.84364,0.76526,71149.97338,5
TJX,23.54314,27.7184,12.99018,206.9487,67.4212,7.6995,6.5494,57.9465,13.5573,0.85375,0.68449,72660.26382000001,2
EL,38.90227,43.28868,15.75943,133.7428,57.2179,12.3408,11.073,42.0769,12.1183,0.78023,0.76831,71444.57908,2
BDX,66.16497,48.8741,3.34445,91.9785,47.9108,7.1312,8.4767,5.1389,3.4553,1.06092,1.07287,70606.25941,0
CB,19.29639,25.21348,1.26489,30.4148,23.3216,10.9935,8.4091,6.8924,1.6436,0.64865,0.67202,68873.15428999999,5
COP,8.46683,13.9486,1.93472,44.6238,30.8551,23.4957,14.2515,24.8509,6.9954,0.91346,1.09178,67679.53138,4
ISRG,53.1878,77.97152,8.72161,0.99,0.9803,30.9396,21.1122,18.7167,9.9423,1.46301,1.13385,66430.49494,4
PNC,13.78071,17.49274,1.48637,91.9962,49.5477,31.6704,23.6927,11.4774,1.3657,1.11176,1.13396,67916.41386,4
SPGI,32.55019,41.52361,193.81074,180.9641,64.4082,32.195,25.2557,334.6123,19.4675,0.90508,1.04983,66513.46,7
INTU,42.83946,56.4478,18.35886,21.3322,17.5816,22.7895,17.2814,49.2595,21.0827,1.15857,1.06002,65571.24035,2
D,65.02828,34.15786,2.40748,140.8051,58.4726,6.4044,11.7746,4.2547,2.6682,0.17699,0.22101,66588.25452,5
DUK,18.68497,24.95389,1.47128,130.8899,56.6893,14.332,10.5677,7.9661,2.3768,0.16032,0.05855,64883.92525,5
SO,14.23475,26.37827,2.36864,148.9402,59.8297,20.9504,11.2976,17.4689,2.8983,0.19872,0.1576,63647.66579,5
TGT,20.05994,24.81581,5.48722,121.8016,54.9146,4.1768,3.3635,28.5878,6.6542,0.71557,0.55647,63747.52982,5
SCHW,18.06311,21.14767,3.39923,44.7831,30.9312,35.1168,28.6651,19.7256,1.3743,1.30369,1.40765,63715.13556,4
BSX,57.25181,67.86999,6.33443,115.4758,53.591,10.4888,8.8048,12.1191,4.7231,1.12866,0.7842,61077.3498,5
AGN,22.610205,27.677715,1.04571,39.4559,28.2927,-58.5025,0.8483,-14.3487,0.6267,1.15925,1.64048,61269.68199,0
RTN,18.57485,25.1023,4.65809,42.1401,29.6469,11.4658,8.4904,27.1035,7.9367,0.93243,0.88716,60658.29577999999,0
CL,25.27175,29.89216,3.26712,5059.7701,98.0619,15.0429,12.7275,15.1807,16.066,0.67113,0.70161,57816.20307999999,2
NOC,19.56604,26.56663,5.97694,162.717,61.9362,9.0545,6.6658,31.9953,6.3968,0.77524,0.77524,58769.059089999995,5
ZTS,40.30936,50.88508,21.66897,248.5436,71.3091,23.756,18.7804,60.9257,11.7056,1.04226,0.78136,58851.53533,2
PLD,32.68231,110.18756,2.57304,45.8506,31.4367,49.8382,15.1808,8.0073,2.0321,0.75182,1.01667,56730.6112,4
VRTX,27.09034,110.47627,10.93282,12.3691,11.0076,59.2348,14.5205,52.5463,8.2999,1.20689,1.48762,56572.909360000005,4
CCI,68.44888,90.14495,4.97584,208.6181,67.5974,16.1384,10.761,7.0194,2.9547,0.5275,0.25039,55966.593479999996,5
ITW,22.95783,27.93859,18.87584,263.5016,72.4898,17.4894,14.3723,76.429,14.2425,1.08995,1.22061,56847.0962,2
CSX,17.00599,20.78136,4.69969,145.5509,59.2752,27.9048,22.8423,26.5957,8.3321,1.15626,1.21312,55780.41933,4
MMC,36.83753,32.24435,7.17402,190.663,65.5959,9.3416,10.6397,19.9562,7.7092,0.82055,0.73904,54993.6979,5
BIIB,10.73781,13.01848,3.90238,45.9883,31.5013,37.9093,31.2631,38.8696,17.1369,1.36761,1.06111,52730.53001,2
ECL,35.77628,41.84872,6.27142,84.9542,45.9325,10.27,8.7732,18.4808,7.0781,0.80069,0.7979,53356.917,5
GPN,71.19586,73.18802,1.91161,36.2191,26.5888,10.5936,10.3363,2.539,1.9871,1.17557,0.96442,52592.89767,0
MU,8.69449,11.86282,1.4774,15.8701,13.6964,26.9717,19.7305,18.5199,10.0121,1.7182,1.95115,54590.01082,4
GD,15.91025,20.83039,3.92038,113.9791,53.2664,8.6587,6.6101,25.6814,5.9934,1.16132,1.14643,51740.76165,0
SHW,38.93418,47.92517,13.20543,264.1136,72.536,7.8073,6.3394,34.8516,6.5911,1.039,1.25967,52689.1901,0
WBA,13.60325,19.3288,2.23276,74.2309,42.6049,2.9094,2.0467,16.0827,4.4373,1.04429,0.90382,51512.15232,0
AMAT,19.79021,26.47053,6.33942,64.6822,39.277,18.524,13.8323,35.9529,11.38,1.56051,1.65268,54538.42175,4
ICE,25.45745,33.77247,3.04996,47.3083,32.1151,40.2148,30.2547,12.3319,1.8834,0.76271,0.46017,51402.778360000004,4
DE,16.27685,20.65669,4.53231,396.5882,79.8625,8.2862,6.5314,28.6597,3.773,1.32532,1.13984,53133.07,0
APD,29.22292,37.07695,4.62681,29.2212,22.6133,19.7333,15.5488,16.0649,7.3561,0.81692,0.89412,50589.58579,2
SLB,22.610205,38.14667,2.13566,68.537,40.6658,-30.2147,4.075,-32.859,2.7814,1.32238,1.57812,53160.54785,0
GM,5.78757,9.82819,1.11676,217.5329,68.5072,6.1943,3.5884,21.3496,1.9483,1.01812,1.39139,50350.35013,0
PSX,11.35822,13.03859,2.03006,48.7708,32.7825,4.2697,3.7186,18.9845,5.3064,1.01488,1.1132,49861.3636,0
EW,65.61042,67.44305,13.06158,17.5815,14.9526,18.6361,18.1029,21.5632,12.4344,1.09472,0.79757,48037.84562,2
NSC,18.58245,22.50909,3.26712,83.1933,45.4128,23.9784,19.7954,17.9178,7.0558,1.07328,1.37271,49805.2201,4
HCA,14.46203,18.7251,3.26712,91.9962,104.1829,6.9838,5.3926,15.1807,10.8549,1.10787,0.91986,48343.0831,0
AON,34.87733,34.25872,13.80935,238.4161,70.4505,13.7915,13.3877,37.0131,6.3163,0.89365,0.84707,48037.972,2
ILMN,49.95747,80.89164,10.81124,42.1491,29.6513,28.1376,17.4775,24.5026,8.2502,1.46709,1.04055,47123.79,4
EQIX,94.592,106.17168,5.44304,139.9342,58.3219,9.18,8.1876,6.1863,3.0755,0.48424,0.62033,47682.82122,1
WM,27.27781,32.71842,6.97786,203.8603,67.0901,11.352,9.4467,26.9348,7.0045,0.64283,0.60605,47260.46968,5
COF,9.00664,10.88959,0.90084,91.9962,49.5477,25.4531,19.869,10.765,1.5151,1.42255,1.28815,47238.07961,4
DD,16.09999,8.0514,1.14229,43.3861,30.2582,0.943,6.9769,4.2729,5.1134,0.79687,1.03402,47656.096110000006,0
KMB,23.49317,25.73333,3.26712,9317.0454,98.938,10.9622,9.9987,15.1807,13.4766,0.53076,0.52213,46930.0865,6
MAR,36.81661,40.9114,55.50669,1405.4892,93.3576,24.7592,22.2851,82.9222,5.7302,0.85709,1.29187,46670.288010000004,2
HUM,18.53835,22.67059,3.97404,58.4518,36.8893,4.063,3.3221,22.9791,7.4245,0.97346,0.89954,45657.8518,0
BK,12.92381,15.9852,1.21821,91.9962,49.5477,24.7135,19.0006,9.7782,1.0756,1.11668,1.12417,45999.279989999995,4
EMR,20.23989,25.54521,5.57269,69.1526,40.8818,12.5517,9.9295,26.8451,9.3611,1.21921,1.38362,46131.21993,0
AEP,21.43179,32.97833,2.31456,148.2008,59.71,13.5331,8.8057,11.0034,2.6529,0.25824,0.07185,45517.65948,5
MET,6.61423,8.10837,0.66581,144.61,59.1186,10.8246,8.6033,11.9923,0.898,1.31542,1.14052,45144.698410000005,0
SPG,19.893,38.37065,17.2965,821.3538,89.1464,40.6874,21.0497,77.0698,5.4359,0.47802,0.52563,44618.74678,2
AIG,25.72795,29.01622,0.69283,52.2826,34.3326,3.5541,3.1387,2.8859,0.6689,0.84852,1.18697,43854.260460000005,0
KMI,21.75776,22.50953,1.33,105.5563,51.3515,15.2075,14.5365,6.1114,3.2284,0.83708,0.75527,45752.301830000004,5
AMD,207.4413,260.43583,20.28852,51.0569,33.7998,3.47,2.781,12.6628,4.6354,2.07669,3.07798,43954.87853,1
MCO,33.96216,40.16762,92.56623,828.1183,89.2255,28.1962,23.8483,300.8823,13.7767,1.1819,1.22874,44026.132260000006,7
EXC,18.91375,23.15816,1.3618,114.4329,53.3653,6.634,5.3933,7.3473,2.332,0.35633,0.24314,42962.35129,5
EOG,14.36208,18.24732,2.03691,28.6242,22.2541,17.4147,13.7105,15.0829,6.9889,1.11064,1.37905,43440.32497,4
ADI,31.75068,43.53893,3.64522,48.088,32.4725,22.7507,16.5662,11.8358,5.3981,1.20731,1.40806,42667.82945,4
PGR,13.66433,16.87847,3.1303,32.1381,24.3216,8.7187,6.9954,25.1041,5.3388,0.82631,0.62931,41600.136,5
LHX,24.25267,30.23371,1.87282,34.5736,25.6912,12.0227,9.6388,8.9556,4.3154,0.62775,0.87671,43876.91153,5
BAX,27.73256,37.98485,5.43202,73.8386,42.4754,14.2779,10.5031,19.0259,6.7331,0.85573,0.90315,42381.24269,5
ATVI,26.16086,34.78569,3.46614,24.1111,19.427,23.6635,17.7585,14.2308,7.1158,0.77789,0.82315,43391.32875,2
SYY,25.39295,29.65872,17.22549,375.8244,78.9838,2.8188,2.4143,66.6366,8.9174,0.62282,0.45851,42287.599669999996,5
ROST,25.18403,31.28906,12.40611,106.006,51.4577,10.4651,8.4244,50.9437,16.7756,0.98097,0.81981,41217.63698,2
SRE,17.67089,31.18336,2.51356,130.9328,56.6973,21.2653,10.658,15.8984,2.7058,0.31163,0.42259,41937.6584,5
FDX,91.99917,72.01327,2.24932,180.524,64.3524,0.6457,0.8215,2.4049,1.5548,1.4775,1.71219,41505.61196,1
REGN,19.9153,29.24172,3.87162,7.0256,6.5644,28.1328,19.1623,23.3411,11.377,1.10477,1.19486,40835.470239999995,4
ADSK,268.8351,276.12671,3.26712,91.9962,109.1613,4.736,4.6207,15.1807,4.1453,1.54864,1.89,39526.72848,1
DG,24.25311,30.03853,5.92508,171.3593,63.1484,6.0939,4.9132,25.5357,7.883,0.63601,0.51214,39338.26717,5
LRCX,19.86709,28.34963,7.91973,91.9962,47.9156,22.3832,15.6754,41.4039,12.9309,1.63828,1.64107,39954.72576,4
MPC,12.9824,18.02077,1.15982,71.9489,41.8431,2.5086,1.8053,12.8578,5.0497,1.17882,1.68772,37082.7628,0
AFL,13.08725,15.54041,1.32327,28.6092,22.2451,13.9624,11.767,11.5735,1.8569,0.8487,0.71435,38939.65543,5
ETN,16.54884,22.7517,2.42802,53.805,34.9826,11.0591,8.045,14.6616,5.8699,1.09282,1.43091,38607.426,0
VLO,16.88945,22.05852,1.82195,50.3752,33.4996,2.2318,1.7088,10.7306,4.1794,1.12806,1.48135,38145.53228,0
KHC,22.610205,13.17939,0.73464,60.4022,37.6567,-42.693,11.3586,-18.478,2.9414,0.88323,1.01583,38588.67641,0
PSA,25.28198,36.34753,7.44642,20.8499,17.2527,60.3301,35.9957,29.8769,8.3932,0.09805,0.05302,36668.92972,2
PRU,9.89247,12.72781,0.55865,54.9009,35.4426,6.0626,4.6806,6.8537,0.4762,1.38227,1.60125,37152.84,0
DAL,7.94164,10.15438,2.40068,111.7799,52.7811,10.123,7.9181,32.5872,6.7299,1.00113,1.10399,35490.43915,0
VFC,23.73065,30.17764,7.75998,83.999,45.6518,9.1159,8.4905,34.615,11.108,0.80906,1.23772,36606.58702,0
ROP,31.44134,45.45103,4.20321,75.6489,43.0682,21.575,14.9334,14.3108,5.5361,0.95164,1.1287,36078.96826,4
ALL,15.17287,17.85647,1.56391,27.4368,21.5297,6.1475,4.933,11.1576,1.9607,0.71632,0.81866,35502.35075,5
F,22.54453,18.09766,1.01172,435.5017,81.3259,1.0146,1.2629,4.4565,0.7764,0.73157,1.06186,36120.21162,0
STZ,45.99042,61.18002,3.07643,115.783,53.6571,9.402,7.058,6.818,6.4118,0.7819,0.65049,34617.63015,5
TRV,15.2484,20.4034,1.36796,27.1371,21.3447,7.5684,5.6085,9.7905,1.8392,0.76654,0.90776,34749.72236,5
OXY,28.16159,16.27879,1.32412,123.6068,55.2786,6.2417,9.848,4.4888,2.3606,0.87054,0.87756,33535.137819999996,5
CTSH,16.94515,19.81724,3.22024,15.8848,13.7074,12.5992,10.7912,19.3265,10.6811,0.90525,1.03584,33226.29408,0
WELL,29.93589,110.22296,2.22653,84.7036,45.8592,21.9922,5.9139,7.6926,2.5446,0.26934,0.15137,32938.75329,5
ORLY,25.69058,31.47814,202.99742,3401.8565,97.1443,13.6895,11.1762,411.2209,13.1289,0.72233,0.69561,33641.72855,7
TSN,16.20471,21.42235,2.32486,83.8745,45.6151,4.7683,3.6039,15.0418,5.8113,0.66894,0.43012,32316.069089999997,5
NEM,11.32064,33.22806,1.52291,33.6461,25.1755,25.4166,9.0366,14.5939,3.1391,0.22121,-0.05183,33531.05829,5
XEL,24.76915,36.39916,2.47407,156.1296,60.9572,11.1446,7.5844,10.2268,2.4809,0.24541,0.09129,32595.96405,5
JCI,33.40476,56.15002,1.6559,34.6584,25.738,23.6732,2.7343,5.375,2.5127,1.02148,1.17182,32939.6238,0
MNST,30.18901,37.32714,7.90099,0.5729,0.5696,26.583,21.5536,27.2954,17.5272,1.12599,1.14866,33567.46753,2
GIS,17.19499,20.40833,4.36211,178.6774,64.1162,11.2139,9.4598,27.6457,6.2228,0.62148,0.70265,31174.630610000004,5
IR,24.07069,27.89448,4.35958,84.2975,45.7399,8.3754,7.0924,18.5154,6.8208,0.90537,1.23184,31765.759980000003,0
EQR,39.50775,102.70919,3.09056,85.537,46.1024,29.8812,11.8782,7.8129,2.697,0.46146,0.35326,30703.5827,5
PPG,26.24432,27.91502,5.9731,117.1615,53.9513,7.9965,7.4922,23.5455,6.5227,0.95234,1.23692,31286.44745,0
HSY,24.62867,30.94751,17.81131,268.9959,72.8994,16.1812,12.8633,85.627,13.5322,0.37147,0.05198,31290.15493,2
LYB,9.78352,12.94099,3.92667,173.8967,63.4898,9.7956,7.4119,36.6892,9.1077,1.22019,1.40285,30400.39893,0
APH,27.28687,32.94651,7.41301,98.2071,49.5477,14.1509,11.7279,28.7695,10.2411,1.08151,1.03286,31407.36652,2
TEL,16.11014,22.65233,2.92133,37.5118,27.2789,13.712,10.2849,18.186,7.0515,1.13572,1.13861,31156.31197,0
ZBH,22.610205,42.75354,2.52765,71.2986,41.6224,-1.1378,8.9673,-0.7424,3.5064,1.05121,1.1549,30237.65806,0
TDG,44.04297,41.5697,3.26712,91.9962,120.2754,17.0349,14.7734,15.1807,9.2207,1.10687,1.01802,30525.23635,2
PAYX,29.15461,35.32622,12.09385,39.0505,28.0836,27.0394,22.346,43.0059,11.1979,0.86164,0.86646,30163.956810000003,2
HPQ,9.90338,17.64462,3.26712,91.9962,130.2484,5.3645,3.0135,15.1807,7.8114,1.34941,1.50325,29742.006739999997,0
CCL,10.14275,15.88835,1.21593,42.5261,29.8374,14.9275,9.5431,12.2524,4.87,1.00804,1.10435,30831.63563,0
EA,11.27347,40.64841,4.22554,17.4769,14.8769,54.0125,14.9857,44.024,7.4568,0.61315,0.91991,30132.22382,4
AVB,29.93489,76.92971,2.78247,69.3075,40.9358,43.4459,16.9064,9.4408,2.7494,0.50317,0.47004,29551.82238,5
YUM,27.29887,40.83465,3.26712,91.9962,346.409,20.8752,13.974,15.1807,25.606,0.54793,0.33925,30076.83838,2
HLT,33.3561,41.86733,3.26712,91.9962,102.2774,24.7143,19.6651,508.1967,6.8084,0.97046,1.05908,29824.62604,2
PEG,20.49301,23.42091,1.97919,108.3082,51.9942,14.4545,12.6043,9.9371,3.3763,0.40667,0.26306,29468.681119999997,5
OKE,23.70497,29.21863,4.7552,205.9378,67.3136,11.7623,9.5616,19.4242,6.0343,0.9212,1.11852,29985.814739999998,0
INFO,79.24291,72.31173,3.58966,61.2345,37.9785,8.7436,9.5555,4.73,3.5939,0.92831,0.88459,29532.769589999996,5
LUV,12.55784,15.75247,2.96444,44.356,30.7268,10.8963,8.6711,24.3079,7.2916,1.07512,1.43454,28418.9108,0
TROW,15.73897,17.86926,4.25152,1.8432,1.8098,35.5304,30.5102,28.3963,16.2716,1.38587,1.07013,28884.855260000004,4
ED,20.46424,29.81552,1.60445,119.2842,54.397,10.9688,7.5296,8.1486,2.9992,0.22058,0.03134,29117.579439999998,5
IQV,123.63071,134.543,4.69859,189.6152,65.4714,2.2424,2.0425,3.6565,2.4482,1.13784,0.87622,27910.364210000003,1
EBAY,15.55774,25.98256,8.73099,257.2477,72.0082,18.3308,10.9962,39.1607,7.1578,0.92179,1.26202,28408.294889999997,0
