Company Name,Ticker,IQ_PE_EXCL,IQ_PE_NORMALIZED,IQ_PBV,IQ_TOTAL_DEBT_EQUITY,IQ_TOTAL_DEBT_CAPITAL,IQ_NI_MARGIN,IQ_NI_NORM_MARGIN,IQ_RETURN_COMMON_EQUITY,IQ_RETURN_ASSETS,IQ_BETA_2YR,IQ_BETA_5YR
General Electric Company,NYSE:GE,NM,43.00842,3.47103,330.7059,76.7823,-4.1189,1.8731,0.0303,1.5297,1.04579,1.17639
QUALCOMM Incorporated,NasdaqGS:QCOM,23.34819,21.28208,19.5506,324.5671,76.4465,18.0694,19.7956,153.4639,15.3806,0.94908,1.6367
"Altria Group, Inc.",NYSE:MO,54.19498,14.37052,8.93051,261.3619,72.3269,8.9282,33.2166,13.5181,13.6193,0.64775,0.45714
American Tower Corporation (REIT),NYSE:AMT,58.92978,65.19542,17.93176,445.952,81.6833,20.5777,18.6017,30.265,5.3768,0.39249,0.40181
U.S. Bancorp,NYSE:USB,13.82105,17.37662,1.98785,0,0,34.1763,25.9536,15.1255,1.5363,1.01138,1.12571
"Lowe's Companies, Inc.",NYSE:LOW,31.14502,25.56131,36.3316,906.7127,90.0666,4.1062,4.99,74.8599,10.4524,1.101,1.27165
"Fidelity National Information Services, Inc.",NYSE:FIS,69.83784,69.90055,1.72961,42.1584,29.6559,8.2332,8.21,2.544,1.8305,0.8155,0.63818
"Gilead Sciences, Inc.",NasdaqGS:GILD,31.97215,28.4172,4.12169,122.01,54.9569,12.0411,13.5283,12.3915,5.2227,1.11967,1.13544
Booking Holdings Inc.,NasdaqGS:BKNG,19.82689,26.34549,13.65072,153.1003,60.4899,29.0495,21.8624,54.5815,14.5389,1.0915,1.09505
Morgan Stanley,NYSE:MS,10.65066,12.73669,1.09467,374.1292,78.9087,21.3091,16.6555,10.8118,0.9602,1.34199,1.38299
"The Goldman Sachs Group, Inc.",NYSE:GS,10.03738,11.72466,0.9937,487.5708,82.9807,26.9483,21.5673,10.8513,0.9251,1.31075,1.37062
Caterpillar Inc.,NYSE:CAT,13.57346,16.60372,5.27524,257.5001,72.0279,10.9876,8.9812,39.2377,6.5051,1.51961,1.51388
"Fiserv, Inc.",NasdaqGS:FISV,55.17415,58.82459,2.38589,68.5749,40.6792,12.1149,11.3886,5.2759,2.4037,0.77083,0.79438
"Mondelez International, Inc.",NasdaqGS:MDLZ,19.87524,31.29008,2.89361,75.7497,43.1009,15.4189,9.7777,15.1809,3.9598,0.73784,0.75439
"BlackRock, Inc.",NYSE:BLK,19.14332,23.92162,2.37383,20.3606,16.9163,29.3083,23.4522,12.6561,1.9809,1.31619,1.55439
Stryker Corporation,NYSE:SYK,22.60291,38.59806,6.20114,71.2951,41.6212,23.548,13.7981,30.8996,8.6961,1.03787,0.7633
Cigna Corporation,NYSE:CI,16.37607,16.81017,1.66279,88.1005,46.8369,3.2939,3.2102,14.1773,4.1289,1.00742,0.75261
CME Group Inc.,NasdaqGS:CME,36.09357,42.03817,2.74875,16.8759,14.4392,40.9869,35.2424,8.1171,2.2778,0.37694,0.19808
"Automatic Data Processing, Inc.",NasdaqGS:ADP,31.29706,38.19532,13.74248,119.9227,54.5294,16.502,13.5261,47.2095,5.2248,0.98323,0.88138
"Anthem, Inc.",NYSE:ANTM,17.38359,22.03465,2.31061,68.0933,40.5092,4.2909,3.3837,14.2256,5.0524,0.84364,0.76526
"The TJX Companies, Inc.",NYSE:TJX,23.54314,27.7184,12.99018,206.9487,67.4212,7.6995,6.5494,57.9465,13.5573,0.85375,0.68449
The Estée Lauder Companies Inc.,NYSE:EL,38.90227,43.28868,15.75943,133.7428,57.2179,12.3408,11.073,42.0769,12.1183,0.78023,0.76831
"Becton, Dickinson and Company",NYSE:BDX,66.16497,48.8741,3.34445,91.9785,47.9108,7.1312,8.4767,5.1389,3.4553,1.06092,1.07287
Chubb Limited,NYSE:CB,19.29639,25.21348,1.26489,30.4148,23.3216,10.9935,8.4091,6.8924,1.6436,0.64865,0.67202
ConocoPhillips Company,NYSE:COP,8.46683,13.9486,1.93472,44.6238,30.8551,23.4957,14.2515,24.8509,6.9954,0.91346,1.09178
"Intuitive Surgical, Inc.",NasdaqGS:ISRG,53.1878,77.97152,8.72161,0.99,0.9803,30.9396,21.1122,18.7167,9.9423,1.46301,1.13385
"The PNC Financial Services Group, Inc.",NYSE:PNC,13.78071,17.49274,1.48637,0,0,31.6704,23.6927,11.4774,1.3657,1.11176,1.13396
S&P Global Inc.,NYSE:SPGI,32.55019,41.52361,193.81074,180.9641,64.4082,32.195,25.2557,334.6123,19.4675,0.90508,1.04983
Intuit Inc.,NasdaqGS:INTU,42.83946,56.4478,18.35886,21.3322,17.5816,22.7895,17.2814,49.2595,21.0827,1.15857,1.06002
"Dominion Energy, Inc.",NYSE:D,65.02828,34.15786,2.40748,140.8051,58.4726,6.4044,11.7746,4.2547,2.6682,0.17699,0.22101
"T-Mobile US, Inc.",NasdaqGS:TMUS,19.97833,20.88199,2.39498,159.7241,61.4976,7.5328,7.1987,12.8803,5.0242,0.91182,0.37613
Duke Energy Corporation,NYSE:DUK,18.68497,24.95389,1.47128,130.8899,56.6893,14.332,10.5677,7.9661,2.3768,0.16032,0.05855
The Southern Company,NYSE:SO,14.23475,26.37827,2.36864,148.9402,59.8297,20.9504,11.2976,17.4689,2.8983,0.19872,0.1576
Target Corporation,NYSE:TGT,20.05994,24.81581,5.48722,121.8016,54.9146,4.1768,3.3635,28.5878,6.6542,0.71557,0.55647
The Charles Schwab Corporation,NYSE:SCHW,18.06311,21.14767,3.39923,44.7831,30.9312,35.1168,28.6651,19.7256,1.3743,1.30369,1.40765
Boston Scientific Corporation,NYSE:BSX,57.25181,67.86999,6.33443,115.4758,53.591,10.4888,8.8048,12.1191,4.7231,1.12866,0.7842
Allergan plc,NYSE:AGN,NM,NM,1.04571,39.4559,28.2927,-58.5025,0.8483,-14.3487,0.6267,1.15925,1.64048
Raytheon Company,NYSE:RTN,18.57485,25.1023,4.65809,42.1401,29.6469,11.4658,8.4904,27.1035,7.9367,0.93243,0.88716
Colgate-Palmolive Company,NYSE:CL,25.27175,29.89216,NM,5059.7701,98.0619,15.0429,12.7275,NM,16.066,0.67113,0.70161
Northrop Grumman Corporation,NYSE:NOC,19.56604,26.56663,5.97694,162.717,61.9362,9.0545,6.6658,31.9953,6.3968,0.77524,0.77524
Zoetis Inc.,NYSE:ZTS,40.30936,50.88508,21.66897,248.5436,71.3091,23.756,18.7804,60.9257,11.7056,1.04226,0.78136
"Prologis, Inc.",NYSE:PLD,32.68231,110.18756,2.57304,45.8506,31.4367,49.8382,15.1808,8.0073,2.0321,0.75182,1.01667
Vertex Pharmaceuticals Incorporated,NasdaqGS:VRTX,27.09034,110.47627,10.93282,12.3691,11.0076,59.2348,14.5205,52.5463,8.2999,1.20689,1.48762
Crown Castle International Corp. (REIT),NYSE:CCI,68.44888,90.14495,4.97584,208.6181,67.5974,16.1384,10.761,7.0194,2.9547,0.5275,0.25039
Illinois Tool Works Inc.,NYSE:ITW,22.95783,27.93859,18.87584,263.5016,72.4898,17.4894,14.3723,76.429,14.2425,1.08995,1.22061
CSX Corporation,NasdaqGS:CSX,17.00599,20.78136,4.69969,145.5509,59.2752,27.9048,22.8423,26.5957,8.3321,1.15626,1.21312
"Marsh & McLennan Companies, Inc.",NYSE:MMC,36.83753,32.24435,7.17402,190.663,65.5959,9.3416,10.6397,19.9562,7.7092,0.82055,0.73904
Biogen Inc.,NasdaqGS:BIIB,10.73781,13.01848,3.90238,45.9883,31.5013,37.9093,31.2631,38.8696,17.1369,1.36761,1.06111
Ecolab Inc.,NYSE:ECL,35.77628,41.84872,6.27142,84.9542,45.9325,10.27,8.7732,18.4808,7.0781,0.80069,0.7979
Global Payments Inc.,NYSE:GPN,71.19586,73.18802,1.91161,36.2191,26.5888,10.5936,10.3363,2.539,1.9871,1.17557,0.96442
"Micron Technology, Inc.",NasdaqGS:MU,8.69449,11.86282,1.4774,15.8701,13.6964,26.9717,19.7305,18.5199,10.0121,1.7182,1.95115
General Dynamics Corporation,NYSE:GD,15.91025,20.83039,3.92038,113.9791,53.2664,8.6587,6.6101,25.6814,5.9934,1.16132,1.14643
The Sherwin-Williams Company,NYSE:SHW,38.93418,47.92517,13.20543,264.1136,72.536,7.8073,6.3394,34.8516,6.5911,1.039,1.25967
"Walgreens Boots Alliance, Inc.",NasdaqGS:WBA,13.60325,19.3288,2.23276,74.2309,42.6049,2.9094,2.0467,16.0827,4.4373,1.04429,0.90382
"Applied Materials, Inc.",NasdaqGS:AMAT,19.79021,26.47053,6.33942,64.6822,39.277,18.524,13.8323,35.9529,11.38,1.56051,1.65268
"Intercontinental Exchange, Inc.",NYSE:ICE,25.45745,33.77247,3.04996,47.3083,32.1151,40.2148,30.2547,12.3319,1.8834,0.76271,0.46017
Deere & Company,NYSE:DE,16.27685,20.65669,4.53231,396.5882,79.8625,8.2862,6.5314,28.6597,3.773,1.32532,1.13984
"ServiceNow, Inc.",NYSE:NOW,NM,NM,35.88431,78.6534,44.0257,1.0852,0.6963,2.8566,0.2232,1.21797,1.35297
"Air Products and Chemicals, Inc.",NYSE:APD,29.22292,37.07695,4.62681,29.2212,22.6133,19.7333,15.5488,16.0649,7.3561,0.81692,0.89412
Schlumberger Limited,NYSE:SLB,NM,38.14667,2.13566,68.537,40.6658,-30.2147,4.075,-32.859,2.7814,1.32238,1.57812
General Motors Company,NYSE:GM,5.78757,9.82819,1.11676,217.5329,68.5072,6.1943,3.5884,21.3496,1.9483,1.01812,1.39139
Phillips 66,NYSE:PSX,11.35822,13.03859,2.03006,48.7708,32.7825,4.2697,3.7186,18.9845,5.3064,1.01488,1.1132
Edwards Lifesciences Corporation,NYSE:EW,65.61042,67.44305,13.06158,17.5815,14.9526,18.6361,18.1029,21.5632,12.4344,1.09472,0.79757
Norfolk Southern Corporation,NYSE:NSC,18.58245,22.50909,3.26712,83.1933,45.4128,23.9784,19.7954,17.9178,7.0558,1.07328,1.37271
Las Vegas Sands Corp.,NYSE:LVS,26.14645,35.06196,9.19286,188.2885,65.3125,13.8562,10.3329,31.0776,10.0839,1.24851,1.61624
"HCA Healthcare, Inc.",NYSE:HCA,14.46203,18.7251,NM,NM,104.1829,6.9838,5.3926,NM,10.8549,1.10787,0.91986
Aon plc,NYSE:AON,34.87733,34.25872,13.80935,238.4161,70.4505,13.7915,13.3877,37.0131,6.3163,0.89365,0.84707
"Illumina, Inc.",NasdaqGS:ILMN,49.95747,80.89164,10.81124,42.1491,29.6513,28.1376,17.4775,24.5026,8.2502,1.46709,1.04055
