,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
3/10/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,17.75,3.4444,-0.569253169932658,-0.5316386580112844,0.3909028644921456,1.0033917467495759,0.0033917467495758746,-0.08031088082901561,-0.3507681053401609,0.04075067024128698,0.01810600802232622,0.034386761265073236
3/13/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,17.56,3.4444,-0.5672947791995939,-0.5308253186765528,0.3867185521398353,1.0,-0.010704225352112795,-0.07773109243697485,-0.33910425291682356,0.04075067024128698,0.01804223238489563,0.03427685631185492
3/14/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,17.62,3.4444,-0.5658162875567678,-0.5404355143549218,0.38803991393530174,1.0034168564920274,0.003416856492027387,-0.05522788203753337,-0.3170542635658915,0.04075067024128698,0.017680204078782256,0.034167804436944636
3/15/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,17.83,3.4444,-0.5606415668068769,-0.5217079535457925,0.3926646802194341,1.015375854214123,0.011918274687854558,-0.0814013395157136,-0.3002354788069075,0.023183925811437467,0.015077159102381419,0.034224552158904076
3/16/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,18.17,3.4444,-0.5522634474975296,-0.5106192662245976,0.4001523970604105,1.0347380410022782,0.019068984856982718,-0.08509566968781457,-0.2837997635001971,0.020452099031216475,0.014729951560350327,0.03435860017244405
3/17/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,18.08,3.4444,-0.5664684442739305,-0.5293017456359101,0.3981703543672108,1.029612756264237,-0.004953219592735425,-0.0789607743250128,-0.29622421175554703,0.020452099031216475,0.01463282304741024,0.034287654046289466
3/20/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,18.26,3.4444,-0.5592140201805629,-0.5232462704581664,0.40213443975361013,1.0398633257403191,0.009955752212389646,-0.07544303797468344,-0.29904030710172735,0.020452099031216475,0.014786289416754205,0.03425534331454181
3/21/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,17.52,3.4444,-0.5705924451721063,-0.5159361182733503,0.38583764427619105,1.0,-0.040525739320920184,-0.11291139240506332,-0.3124018838304553,0.020452099031216475,0.016797526550899115,0.034483597075328776
3/22/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,17.51,3.4444,-0.567256838379944,-0.5133801911879554,0.38561741731028004,1.0,-0.0005707762557076723,-0.11071609954291517,-0.30598493856520015,0.020452099031216475,0.016824604084986025,0.03448359572626074
3/23/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,17.44,3.4444,-0.5725532102626445,-0.5152008313643984,0.38407582854890254,1.0,-0.003997715591090856,-0.11830131445904957,-0.30875941339674984,0.020452099031216475,0.016673012967767378,0.034477704408223245
3/24/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,18.16,3.4444,-0.5645501630539036,-0.5290619604834068,0.3999321700944994,1.0412844036697246,0.041284403669724634,-0.07535641547861505,-0.27879269261318507,0.041284403669724634,0.019580532354128065,0.03496985689949799
3/27/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,18.3,3.4444,-0.5565474675952514,-0.519471928000756,0.4030153476172544,1.0493119266055047,0.007709251101321701,-0.07715582450832059,-0.27467300832342445,0.041284403669724634,0.01951882494036665,0.03499438913045629
3/28/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,18.49,3.4444,-0.576981768348902,-0.5589079769479086,0.4071996599695646,1.0602064220183485,0.01038251366120213,-0.04097510373444002,-0.2639331210191084,0.041284403669724634,0.018928933487374698,0.03504394059468684
3/29/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,18.84,3.4444,-0.542360777112209,-0.5491622092995011,0.414907603776452,1.0802752293577982,0.018929150892374347,0.015086206896551824,-0.25148986889153757,0.041284403669724634,0.017583716921735253,0.03515676098387253
3/30/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,18.37,3.4444,-0.5558134755117091,-0.550735676374935,0.4045569363786319,1.0533256880733946,-0.02494692144373667,-0.011302475780408883,-0.2701628923321414,0.041284403669724634,0.01846275920337034,0.035252482208013455
3/31/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,18.3,3.4444,-0.5590935155425559,-0.5431919702014678,0.4030153476172544,1.0493119266055047,-0.003810560696788312,-0.034810126582278444,-0.2895962732919255,0.041284403669724634,0.01784277506307438,0.03507338549382347
4/3/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,18.35,3.4444,-0.5623908958228006,-0.5554750026232698,0.40411648244680975,1.052178899082569,0.002732240437158584,-0.0155579399141631,-0.30937147158449374,0.041284403669724634,0.017509650347576584,0.03478109323539748
4/4/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,18.02,3.4444,-0.5679071551889506,-0.5609533857663533,0.39684899257174444,1.0332568807339448,-0.017983651226158193,-0.015838339705079196,-0.31247615413964136,0.041284403669724634,0.017523416390516543,0.03480277436178031
4/5/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,18.56,3.4444,-0.5593646874480663,-0.5700481944873104,0.4087412487309421,1.0642201834862384,0.029966703662597016,0.024848150193263363,-0.31360946745562135,0.041284403669724634,0.01856159432290645,0.03477432262056502
4/6/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,19.04,3.4444,-0.5540659860551937,-0.584278952336118,0.41931214309467335,1.091743119266055,0.02586206896551735,0.0726760563380282,-0.2953367875647669,0.041284403669724634,0.018631592240626934,0.034991200472632475
4/7/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,18.43,3.4444,-0.5659301060327,-0.5833588483840728,0.4058782981740982,1.0567660550458715,-0.03203781512605042,0.0418315432447709,-0.32540263543191805,0.041284403669724634,0.020149297203182884,0.0350957444415429
4/10/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,18.19,3.4444,-0.5994071490077674,-0.6090971355078544,0.4065494922042626,1.0430045871559632,-0.01302224633749316,0.024788732394366297,-0.3257968865826538,0.041284403669724634,0.020415204157645486,0.03509764999615921
4/11/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,18.04,3.4444,-0.5968030324703191,-0.6075311114289802,0.4104841847542897,1.0344036697247705,-0.008246289169873688,0.02733485193621865,-0.3278688524590164,0.041284403669724634,0.02034948679558499,0.03509925095102427
4/12/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,17.86,3.4444,-0.5936115554483583,-0.5990725423852226,0.40925568627091535,1.0240825688073394,-0.009977827050997812,0.01362088535754813,-0.3260377358490566,0.041284403669724634,0.02049522426185863,0.03509215320898995
4/13/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,17.76,3.4444,-0.5930357789377684,-0.5914317532916897,0.4242419899242527,1.0183486238532111,-0.005599104143336975,-0.0039259674705550696,-0.329811320754717,0.041284403669724634,0.020378134189576798,0.035084934999104325
4/14/2017,-40.233000000000004,48.263000000000005,8138.709,7.1818,17.76,3.4444,-0.5757580100757473,-0.5659641353083518,0.42697644897919934,1.0183486238532111,0.0,-0.02256466703357185,-0.3221374045801526,0.041284403669724634,0.01990580749312875,0.03508440595563846
