,free_cash_flow_equity,market_cap,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
4/2/1999,497.5,28873.1714,15.7688,10.4596,20.9461,-0.09092015262000563,-0.039389172323283206,0.7599410042357796,1.4130584563839992,0.0,-0.053643971952047065,-0.17002451933377238,0.06839133075298442,0.034652736394857775,0.03130680564767573
4/5/1999,497.5,28873.1714,15.7688,10.5925,20.9461,-0.10911782268984616,-0.036131506572805505,0.7695968380595334,1.4310128206860215,0.012706030823358416,-0.07572227603116854,-0.13281429086026797,0.06839133075298442,0.03368187617423494,0.031152092760743096
4/6/1999,497.5,28873.1714,15.7688,10.6232,20.9461,-0.12876029262211708,-0.10191746219204145,0.7718273429383088,1.4351602923494684,0.002898277082841849,-0.029889046162275612,-0.12884602768483888,0.06839133075298442,0.03233827289898948,0.03115767544695407
4/7/1999,497.5,28873.1714,15.7688,10.797,20.9461,-0.1317878078788025,-0.11616368738893035,0.7844547614376949,1.4586401156428581,0.01636041870622784,-0.017677617752222208,-0.09181141439205953,0.06839133075298442,0.03254635281285295,0.03109364801007023
4/8/1999,497.5,28873.1714,15.7688,11.0015,20.9461,-0.09773480300495352,-0.0952252074927008,0.7993126848158562,1.4862674105996947,0.018940446420301793,-0.0027737239510156053,-0.06173776587579105,0.06839133075298442,0.03280978117187809,0.03115125797996714
4/9/1999,497.5,28873.1714,15.7688,10.6538,20.9461,-0.15430594473594383,-0.06438476864824527,0.7740505823288796,1.4392942543332299,-0.031604781166204576,-0.09610914088880584,-0.09767087321080714,0.042104357551512095,0.029539471747525355,0.03137969962684359
4/12/1999,497.5,28873.1714,15.7688,10.5107,20.9461,-0.1689963789313894,-0.08101548046362328,0.7636536687082689,1.4199619027032868,-0.013431827141489494,-0.09573708435497053,-0.07958316914050523,0.042104357551512095,0.029533104600672797,0.031158353861908992
4/13/1999,497.5,28873.1714,15.7688,10.6641,20.9461,-0.13826847242872842,-0.021195617040532633,0.774798927613941,1.4406857513408358,0.014594651165003247,-0.11960802120053826,-0.020680851845389592,0.032824509407326063,0.027936029812563802,0.03066278122456168
4/14/1999,497.5,28873.1714,15.7688,10.6232,20.9461,-0.08633353401565325,0.0759869269803044,0.7718273429383088,1.4351602923494684,-0.0038352978685495254,-0.1508572798848966,-0.05281928742109199,0.02979692195610606,0.026519839564174922,0.030427136230422334
4/15/1999,497.5,28873.1714,15.7688,10.1426,20.9461,-0.12156380454175408,0.056139682319724216,0.7369094066275783,1.370232771780981,-0.04524060546727926,-0.16825756084760224,-0.09567031634509082,0.02979692195610606,0.027531014831304493,0.030946816241817717
4/16/1999,497.5,28873.1714,15.7688,11.0424,20.9461,-0.06491658904225595,0.06026759251418401,0.8022842694914886,1.491792869591062,0.0887149251671171,-0.11806847859943925,-0.0018349950735352394,0.0887149251671171,0.03403479258554702,0.03290408222040798
4/19/1999,497.5,28873.1714,15.7688,12.0955,20.9461,-0.009661440209604133,-0.01825848446391276,0.8787971257728663,1.6340633063590062,0.09536876041440245,0.008756932571619025,0.0943677900927391,0.09536876041440245,0.03940678745011845,0.035006196545959746
4/20/1999,497.5,28873.1714,15.7688,11.9932,20.9461,0.0018712199685901876,-0.018795736291643106,0.8713645313396834,1.6202429040407451,-0.008457690876772284,0.02106284799673075,0.12885676097965026,0.09536876041440245,0.03916558007168998,0.03464317445385214
4/21/1999,497.5,28873.1714,15.7688,12.9441,20.9461,0.11133910863461938,-0.04667176083727553,0.9404520586760827,1.748706448170114,0.07928659573758479,0.1657465529508182,0.2397731952838411,0.09536876041440245,0.04041281884860442,0.035868189373061216
4/22/1999,497.5,28873.1714,15.7688,12.1568,20.9461,0.03298608160698824,-0.06865727444215963,0.8832508700422125,1.6423447400062146,-0.06082307769562967,0.10913636114811243,0.16436637390213304,0.09536876041440245,0.04293218129428023,0.036785588311094033
4/23/1999,497.5,28873.1714,15.7688,11.8194,20.9461,0.000880684223896866,-0.06838004911508178,0.8587371128402973,1.5967630807473554,-0.02775401421426693,0.07434440758078442,0.05768335898629062,0.09536876041440245,0.04355358115336382,0.03596022480795807
4/26/1999,497.5,28873.1714,15.7688,12.1671,20.9461,0.07448095587131398,-0.030263959659828532,0.8839992153272739,1.6437362370138204,0.029417736940961392,0.10801384209088427,0.0789497020431329,0.09536876041440245,0.043865765833343055,0.03611996220532594
4/27/1999,497.5,28873.1714,15.7688,12.7396,20.9461,0.1131051716455076,-0.011961450751850178,0.9255941352979213,1.7210791532132772,0.04705311865604789,0.12658071134221194,0.060669891515207075,0.09536876041440245,0.04449493277694724,0.03567911149765118
4/28/1999,497.5,28873.1714,15.7688,12.7192,20.9461,0.09584036943860497,-0.04334528035289653,0.9241119757042074,1.7183231785574364,-0.00160130616345866,0.14549204319280973,0.06621511740001518,0.09536876041440245,0.04418164718925463,0.03566550695548931
4/29/1999,497.5,28873.1714,15.7688,12.7192,20.9461,0.08077426371870922,-0.04432982682732012,0.9241119757042074,1.7183231785574364,0.0,0.1309071833127351,0.12182042688304828,0.09536876041440245,0.044191115415381906,0.0350592720991321
4/30/1999,497.5,28873.1714,15.7688,12.3306,20.9461,0.04237782455428474,-0.11578876180331887,0.8958782885415986,1.6658245632996043,-0.030552235989684928,0.1788787334123676,0.11255876063556225,0.09536876041440245,0.04152137393465093,0.03516632594758636
5/3/1999,497.5,28873.1714,15.7688,12.5965,20.9461,0.08905969013694848,-0.09569096693871904,0.9151972216773107,1.7017468015833346,0.021564238560978444,0.20430035565413607,0.15245972132002472,0.09536876041440245,0.04156290417877432,0.0351874410567546
5/4/1999,497.5,28873.1714,15.7688,12.5556,20.9461,0.14139742913765208,-0.037062962491591134,0.9122256370016784,1.6962213425919672,-0.003246933672051755,0.18532924238848247,0.13181830474250233,0.09536876041440245,0.04165082396139801,0.03516136737797238
5/5/1999,497.5,28873.1714,15.7688,12.3511,20.9461,0.0753645901353881,-0.07507727134212694,0.897367713623517,1.6685940476351306,-0.016287552964414198,0.16265343775886731,0.11956019252907435,0.09536876041440245,0.04199884490500938,0.03522744409331008
