,free_cash_flow_equity,market_cap,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
7/20/2015,14.0,24174.0708,6.8142,33.3797,3.6097,0.5647859064870286,0.43130443750644565,1.0,1.5695611490156065,0.025940735868599685,0.09325861464743901,0.1594722929482748,0.027834817056604733,0.013165957503468663,0.010945701537749288
7/21/2015,14.0,24174.0708,6.8142,33.0272,3.6097,0.548261281279592,0.4308684686711859,0.9894396893920556,1.5529860957638397,-0.010560310607944379,0.08204304950365282,0.15019241149941664,0.027834817056604733,0.013531862601670323,0.011050081973463296
7/22/2015,14.0,24174.0708,6.8142,33.0921,3.6097,0.5513036874525357,0.43434684367938936,0.9913839848770362,1.5560377864192714,0.0019650469915706292,0.08154014092792816,0.15768980499989516,0.027834817056604733,0.013534684842148217,0.011015794839826041
7/23/2015,14.0,24174.0708,6.8142,33.0458,3.6097,0.5491332189501119,0.42434768749003826,0.9899969142922195,1.553860694318401,-0.0013991254710339351,0.087608898133551,0.16362138236775103,0.027834817056604733,0.013365986675065772,0.010968205636665862
7/24/2015,14.0,24174.0708,6.8142,32.1647,3.6097,0.5091374869213121,0.42776106937921377,0.9636006315215536,1.5124301144031338,-0.026662994994825273,0.05699582324196628,0.1311180818815454,0.027834817056604733,0.014957323030947047,0.011565736076663013
7/27/2015,14.0,24174.0708,6.8142,32.109,3.6097,0.5098110208822162,0.4260799646398863,0.9619319526538586,1.5098110208822162,-0.0017317120943146636,0.058714138280088424,0.12622060721701556,0.027834817056604733,0.014928428258236532,0.01157511650499337
7/28/2015,14.0,24174.0708,6.8142,31.7473,3.6097,0.4915059148524341,0.4043616751388275,0.9510960254286288,1.492803370495935,-0.011264754430222124,0.06205256185518726,0.09887610892086385,0.027834817056604733,0.01476389081905726,0.011599846421980507
7/29/2015,14.0,24174.0708,6.8142,31.9792,3.6097,0.5037076395713527,0.43610963516074275,0.9580433616838977,1.499132750166418,0.007304558182900545,0.04707022552845963,0.09390809984299042,0.027834817056604733,0.014172144310895422,0.011548436599038764
7/30/2015,14.0,24174.0708,6.8142,32.0905,3.6097,0.5043503126787237,0.44869631254746434,0.9613777235864912,1.5043503126787237,0.0034803872517135126,0.038416609229434906,0.09113875845372843,0.027834817056604733,0.014006772529759327,0.011536753994572912
7/31/2015,14.0,24174.0708,6.8142,31.8679,3.6097,0.4823106405938935,0.42967979608164186,0.9547089997813042,1.4939151876541126,-0.006936632336672854,0.03681302950247911,0.07576780518103932,0.027834817056604733,0.01405068699699462,0.011560144642352513
8/3/2015,14.0,24174.0708,6.8142,31.8679,3.6097,0.49326417101274056,0.44024441101911327,0.9547089997813042,1.4939151876541126,0.0,0.03681302950247911,0.07074002519949607,0.027834817056604733,0.01405068699699462,0.011552546524223564
8/4/2015,14.0,24174.0708,6.8142,31.9142,3.6097,0.4960856561565361,0.4130453126318454,0.9560960703661208,1.485106680006515,0.001452872639866598,0.058766936051063645,0.05390348690141633,0.027834817056604733,0.013193900502866954,0.01136273617189033
8/5/2015,14.0,24174.0708,6.8142,32.0534,3.6097,0.49158426208148187,0.4026757253542428,0.9602662696189601,1.4310575755411103,0.004361694794166926,0.06338495428427371,0.04096518576253594,0.027834817056604733,0.01318185007376994,0.011187641244578155
8/6/2015,14.0,24174.0708,6.8142,31.6546,3.6097,0.39820225711698565,0.3113496322798648,0.9483188884261992,1.4132527323380242,-0.012441737849963053,0.06623147839384536,0.03770263403760099,0.027834817056604733,0.013012391602338014,0.011239284429174053
8/7/2015,14.0,24174.0708,6.8142,31.5154,3.6097,0.3489449128964601,0.2941617086846722,0.9441486891733598,1.4070380027144798,-0.0043974651393478,0.0423310347108532,0.02596540116805235,0.027834817056604733,0.012618567349123073,0.01122721378236787
8/10/2015,14.0,24174.0708,6.8142,32.109,3.6097,0.3635263392572776,0.3024778648321549,0.9619319526538586,1.4335398957068364,0.018835236106792275,0.046871026428529694,0.05227798569827424,0.027834817056604733,0.012869391050076371,0.011424071807233637
8/11/2015,14.0,24174.0708,6.8142,32.1554,3.6097,0.3671164851236788,0.3150642415584637,0.9633220190714716,1.4356114722480178,0.00144507770407043,0.03958152151071248,0.05798007449034648,0.027834817056604733,0.012791096997946495,0.011407525130505785
8/12/2015,14.0,24174.0708,6.8142,32.4244,3.6097,0.39171863800052353,0.34434567625686197,0.9713808092942716,1.447621258661333,0.008365624436331043,0.035238676019373694,0.09902788887834357,0.027834817056604733,0.012647198239820039,0.010765187788947961
8/13/2015,14.0,24174.0708,6.8142,32.6099,3.6097,0.4035965927921803,0.3628745195432377,0.9769380791319275,1.4559031002214446,0.005721000234391482,0.029879546990569716,0.10427114833038176,0.027834817056604733,0.012507056354683976,0.010777619625155239
8/14/2015,14.0,24174.0708,6.8142,32.5913,3.6097,0.37966024205531124,0.34000770445376705,0.9763808542317636,1.4550726837631258,-0.0005703789340049115,0.029591275833528163,0.09606957527736948,0.027834817056604733,0.012509182806501004,0.01075974791262318
8/17/2015,14.0,24174.0708,6.8142,32.7582,3.6097,0.37485258134781585,0.36551431797101563,0.9813808991692556,1.462524108864919,0.005120998548692635,0.006838641861094175,0.0817749216528687,0.025940735868599685,0.011006758777970957,0.010551604497294562
8/18/2015,14.0,24174.0708,6.8142,32.5913,3.6097,0.36254102301469504,0.3955015782102469,0.9763808542317636,1.4550726837631258,-0.005094907534602178,-0.023619145768236427,0.0822281255188444,0.018835236106792275,0.009364489325946019,0.010547394210078748
8/19/2015,14.0,24174.0708,6.8142,32.4244,3.6097,0.3555634524133029,0.3807646480904703,0.9713808092942716,1.447621258661333,-0.0051209985486924126,-0.018251622904757347,0.07569303448916487,0.018835236106792275,0.00916266170526187,0.010578410417456432
8/20/2015,14.0,24174.0708,6.8142,31.8679,3.6097,0.3322979159263362,0.3834779155082675,0.9547089997813042,1.4227757339809988,-0.017163000703174114,-0.036993723577530724,0.057230914181827686,0.018835236106792275,0.009798896039617894,0.010828225728543596
