,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,8290.0,23.7795,538675.8811,12.0944,44.54,3.3145,-0.14313197383609078,-0.10773374374759515,0.8429220287660862,1.1598958333333333,-0.0035794183445191363,-0.0396722725312636,-0.05914659907055353,0.020539152759948776,0.010221999824552666,0.011936725573216653
6/28/1999,8290.0,23.7795,538675.8811,12.0944,44.4,3.3145,-0.14186316196366455,-0.10398144568998846,0.8402725208175623,1.15625,-0.0031432420296363395,-0.042277825711820594,-0.05572096980008512,0.020539152759948776,0.010219966064384068,0.011916757866671885
6/29/1999,8290.0,23.7795,538675.8811,12.0944,44.84,3.3145,-0.13067080263668074,-0.10120201628538195,0.8485995457986374,1.1677083333333336,0.00990990990991003,-0.032786885245901565,-0.07736625514403284,0.020539152759948776,0.010540931275114188,0.011162236749318297
6/30/1999,8290.0,23.7795,538675.8811,12.0944,44.8,3.3145,-0.12772585669781933,-0.09813084112149528,0.8478425435276304,1.1666666666666667,-0.000892060660125038,-0.032815198618307506,-0.07818930041152272,0.020539152759948776,0.010540840201150255,0.011161235219687562
7/1/1999,8290.0,23.7795,538675.8811,12.0944,44.92,3.3145,-0.12607003891050583,-0.0988326848249027,0.850113550340651,1.1697916666666668,0.00267857142857153,-0.030224525043177852,-0.057094878253568404,0.020539152759948776,0.010576484188472776,0.010915898844760368
7/2/1999,8290.0,23.7795,538675.8811,12.0944,45.56,3.3145,-0.10631620243232631,-0.09454688112985488,0.86222558667676,1.1864583333333334,0.014247551202137165,-0.012998266897746857,-0.04486373165618451,0.020539152759948776,0.011097734017662,0.011078282067952569
7/5/1999,8290.0,23.7795,538675.8811,12.0944,45.56,3.3145,-0.10138067061143985,-0.07810650887573967,0.86222558667676,1.1864583333333334,0.0,-0.025246041934103514,-0.022317596566523545,0.020539152759948776,0.01068555375987088,0.010701007617797622
7/6/1999,8290.0,23.7795,538675.8811,12.0944,45.98,3.3145,-0.08914421553090335,-0.0550713153724246,0.8701741105223314,1.1973958333333332,0.009218612818261418,-0.036058700209643746,-0.02253401360544227,0.014247551202137165,0.009783470552556923,0.010697762526050958
7/7/1999,8290.0,23.7795,538675.8811,12.0944,46.38,3.3145,-0.08880157170923375,-0.05933202357563838,0.8777441332323996,1.2078125000000002,0.008699434536755257,-0.03132832080200498,-0.012350936967632009,0.014247551202137165,0.00997841023731455,0.010755968960853837
7/8/1999,8290.0,23.7795,538675.8811,12.0944,46.38,3.3145,-0.07535885167464107,-0.05901116427432207,0.8777441332323996,1.2078125000000002,0.0,-0.01737288135593218,-0.019035532994923776,0.014247551202137165,0.009543936151739586,0.010719104415400364
7/9/1999,8290.0,23.7795,538675.8811,12.0944,45.82,3.3145,-0.06527947776417797,-0.04895960832313351,0.8671461014383043,1.1932291666666668,-0.012074169900819332,-0.017160017160017138,-0.024691358024691246,0.014247551202137165,0.009531153681302324,0.010795688527959434
7/12/1999,8290.0,23.7795,538675.8811,12.0944,45.68,3.3145,-0.04952143154390354,-0.03370786516853941,0.8644965934897804,1.1895833333333334,-0.0030554343081623525,-0.01636520241171402,-0.02601279317697225,0.014247551202137165,0.00951974963110034,0.010799788029094749
7/13/1999,8290.0,23.7795,538675.8811,12.0944,45.42,3.3145,-0.0588479071694985,-0.047244094488189003,0.8595760787282362,1.1828125,-0.005691768826619925,-0.012179208351457027,-0.03648705982180733,0.014247551202137165,0.009360029534813958,0.0107972150508776
7/14/1999,8290.0,23.7795,538675.8811,12.0944,45.72,3.3145,-0.032994923857868064,-0.02072758037225053,0.8652535957607872,1.190625,0.006605019815059343,-0.012526997840172749,-0.04749999999999999,0.014247551202137165,0.009346133250851086,0.010567912418940194
7/15/1999,8290.0,23.7795,538675.8811,12.0944,45.6,3.3145,-0.012559549588566421,0.006929406669553995,0.8629825889477668,1.1875,-0.002624671916010457,-0.019354838709677358,-0.052369077306733125,0.014247551202137165,0.00928757964526789,0.010562471394505236
7/16/1999,8290.0,23.7795,538675.8811,12.0944,45.58,3.3145,-0.008268059181897325,0.010443864229764843,0.8626040878122634,1.1869791666666667,-0.00043859649122812705,-0.01851851851851849,-0.05278470490440568,0.014247551202137165,0.009287599271176592,0.010562081148980652
7/19/1999,8290.0,23.7795,538675.8811,12.0944,45.36,3.3145,-0.022413793103448265,-0.0193965517241379,0.8584405753217259,1.1812500000000001,-0.004826678367705117,-0.003076923076923088,-0.07617107942973522,0.014247551202137165,0.008226859628101815,0.010218930268102307
7/20/1999,8290.0,23.7795,538675.8811,12.0944,45.04,3.3145,-0.03842869342442368,-0.02220324508966709,0.8523845571536713,1.1729166666666666,-0.007054673721340388,-0.016593886462882068,-0.09449135504624051,0.014247551202137165,0.008209525262906553,0.010079904810519737
7/21/1999,8290.0,23.7795,538675.8811,12.0944,44.86,3.3145,-0.05158562367864694,-0.0498942917547569,0.8489780469341407,1.1682291666666667,-0.00399644760213147,-0.0017801513128615776,-0.09337105901374287,0.014247551202137165,0.007153680284993195,0.010073803242916943
7/22/1999,8290.0,23.7795,538675.8811,12.0944,44.66,3.3145,-0.03416955017301049,-0.021193771626297653,0.8451930355791066,1.1630208333333334,-0.004458314757021964,-0.013256738842244875,-0.10104669887278594,0.014247551202137165,0.0070174463945226395,0.010055222411164069
7/23/1999,8290.0,23.7795,538675.8811,12.0944,44.3,3.3145,-0.03862847222222221,-0.02994791666666652,0.8383800151400453,1.1536458333333333,-0.008060904612628761,-0.008948545861297674,-0.11044176706827313,0.014247551202137165,0.006712565278413044,0.010073690141743854
7/26/1999,8290.0,23.7795,538675.8811,12.0944,43.96,3.3145,-0.03427065026362042,-0.02152899824253085,0.8319454958364875,1.1447916666666667,-0.0076749435665913746,-0.01302200269420739,-0.11513687600644118,0.014247551202137165,0.0068670753548995805,0.010100585812860541
7/27/1999,8290.0,23.7795,538675.8811,12.0944,43.78,3.3145,-0.06452991452991441,-0.05128205128205121,0.8285389856169568,1.1401041666666667,-0.0040946314831664665,-0.013963963963963932,-0.11196754563894518,0.014247551202137165,0.006887789098056712,0.01007779755088517
7/28/1999,8290.0,23.7795,538675.8811,12.0944,43.26,3.3145,-0.07761194029850749,-0.04392324093816624,0.8186979560938682,1.1265625,-0.011877569666514431,-0.03523639607493323,-0.12429149797570849,0.014247551202137165,0.006858977510367984,0.010143929099650626
7/29/1999,8290.0,23.7795,538675.8811,12.0944,43.42,3.3145,-0.05935875216637776,-0.029462738301559765,0.8217259651778955,1.1307291666666668,0.0036985668053630683,-0.030803571428571375,-0.11387755102040809,0.014247551202137165,0.0069579312517616294,0.01013944292818375
7/30/1999,8290.0,23.7795,538675.8811,12.0944,42.6,3.3145,-0.07351022183558065,-0.023053501522400932,0.8062074186222559,1.109375,-0.01888530631045604,-0.05164737310774714,-0.13344182262001614,0.014247551202137165,0.00784977126555463,0.01034067224048435
8/2/1999,8290.0,23.7795,538675.8811,12.0944,41.56,3.3145,-0.10623655913978491,-0.020215053763440793,0.7865253595760787,1.0822916666666669,-0.024413145539906034,-0.08779631255487275,-0.16713426853707403,0.009218612818261418,0.008250699506396363,0.010472110227699092
