,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
2/1/2000,77.3517,14419.435,23.4508,23.8196,6.0288,2.4675,-0.4080706921944035,-0.37242022582228773,0.5745435138947128,1.0163354068679513,-0.02734620783117936,-0.05680627043602049,-0.2743816573388699,0.05127157748226163,0.026214603505722505,0.019143547914261674
2/2/2000,77.3517,14419.435,23.4508,23.8196,6.1014,2.4675,-0.4009425625920472,-0.35101620029455083,0.5814622803339305,1.028574318515147,0.01204219745222912,-0.07693005945627007,-0.26145689592563004,0.05127157748226163,0.025094213809709814,0.01926173077141462
2/3/2000,77.3517,14419.435,23.4508,23.8196,6.4404,2.4675,-0.35930443087085406,-0.3087284375559578,0.6137689170129227,1.0857229555454408,0.05556101878257458,-0.07316371172000924,-0.22042268864841308,0.05556101878257458,0.02557522855093279,0.020695169892969795
2/4/2000,77.3517,14419.435,23.4508,23.8196,6.3919,2.4675,-0.36412924533932867,-0.3135433039533634,0.6091468760721229,1.0775468231089533,-0.007530588162226071,-0.073691380209843,-0.21737906039939758,0.05556101878257458,0.025579574749959567,0.020677848413461295
2/7/2000,77.3517,14419.435,23.4508,23.8196,6.4404,2.4675,-0.3717602302102131,-0.33397063844315467,0.6137689170129227,1.0857229555454408,0.0075877282185266015,-0.05673862737631441,-0.2022395362376287,0.05556101878257458,0.025630176688817237,0.020700942196249367
2/8/2000,77.3517,14419.435,23.4508,23.8196,6.4646,2.4675,-0.37878613161131613,-0.3555216020910209,0.6160751724926619,1.0898025927611728,0.0037575305881620835,-0.03609823012808089,-0.20618392131340801,0.05556101878257458,0.025418193544512732,0.020663363618313474
2/9/2000,77.3517,14419.435,23.4508,23.8196,6.4404,2.4675,-0.38373506080932374,-0.35362224539982967,0.6137689170129227,1.0857229555454408,-0.0037434644061503652,-0.04658702313807339,-0.20456482270554666,0.05556101878257458,0.02534390827739876,0.02066126805049496
2/10/2000,77.3517,14419.435,23.4508,23.8196,6.2467,2.4675,-0.39457641574351376,-0.34999370026846555,0.5953093431936873,1.053068999814562,-0.03007577169119935,-0.0685881282896208,-0.2053858776538232,0.05556101878257458,0.026061906051093806,0.020681715983083347
2/11/2000,77.3517,14419.435,23.4508,23.8196,6.1983,2.4675,-0.3992672927630623,-0.35937545430756257,0.5906968322342088,1.0449097253830981,-0.007748090992043766,-0.06227023101711071,-0.1921934054476736,0.05556101878257458,0.02595659969113969,0.020522557261112167
2/14/2000,77.3517,14419.435,23.4508,23.8196,6.1256,2.4675,-0.40117114563068834,-0.37276255462250596,0.5837685358136698,1.032653955730879,-0.01172902247390406,-0.04529160562326606,-0.19175605958648345,0.05556101878257458,0.0253330159023259,0.02051884820023319
